crop_name,nitrogen_requirement,phosphorus_requirement,potassium_requirement,temperature_min,temperature_max,rainfall_min,rainfall_max,humidity_min,humidity_max,ph_min,ph_max,season,growing_days
rice,80,40,40,20,35,100,200,70,90,5.5,6.5,kharif,120
wheat,100,50,50,15,25,40,100,40,70,6.0,7.5,rabi,150
maize,80,60,40,18,32,50,120,50,80,5.5,7.5,kharif,95
chickpea,30,60,40,15,30,40,80,20,60,6.0,8.0,rabi,120
pigeon_pea,20,50,20,20,35,60,150,50,80,5.5,7.0,kharif,180
mung_bean,20,40,20,25,35,60,120,65,75,6.0,7.5,kharif,90
black_gram,20,40,20,25,35,60,120,50,80,5.5,7.5,kharif,90
lentil,20,40,20,15,30,40,80,35,70,6.0,7.5,rabi,120
pomegranate,20,10,40,18,35,50,100,15,60,5.5,7.5,annual,365
banana,100,75,50,15,35,75,150,60,85,5.5,7.0,annual,300
mango,50,50,50,20,35,70,140,50,80,5.5,7.5,annual,365
grapes,20,125,200,15,35,50,80,15,80,6.0,7.5,annual,150
watermelon,100,10,50,22,35,40,70,50,70,6.0,7.0,summer,90
muskmelon,60,40,30,22,35,40,70,60,70,6.0,7.5,summer,90
apple,20,25,30,5,25,100,200,60,80,5.5,6.5,annual,365
orange,30,10,10,15,35,90,150,60,80,5.5,7.0,annual,365
papaya,30,20,30,20,35,100,200,70,85,6.0,7.0,annual,300
coconut,20,10,30,20,35,130,230,70,90,5.5,7.0,annual,365
cotton,40,20,30,20,35,60,150,50,70,5.5,8.0,kharif,180
jute,40,20,40,25,35,150,200,70,90,6.0,7.5,kharif,120
coffee,100,20,30,15,28,150,250,70,90,5.5,6.5,annual,365
sugarcane,150,60,85,20,35,150,250,60,85,6.0,8.0,annual,365
turmeric,30,50,120,20,30,150,250,70,90,4.5,7.5,annual,240
ginger,20,40,30,20,35,150,300,70,90,5.5,7.0,annual,240
mustard,60,40,40,10,25,40,80,35,60,5.5,7.5,rabi,110
soybean,20,60,20,20,35,60,120,40,80,5.5,7.0,kharif,120
groundnut,20,40,30,20,35,40,110,40,80,5.5,7.0,kharif,130
sunflower,50,50,30,20,30,50,100,40,70,6.0,7.5,kharif,110
potato,100,80,100,15,25,50,150,75,85,5.0,6.5,rabi,125
tomato,100,80,80,15,30,60,150,60,80,5.5,7.5,annual,145
onion,70,50,80,15,30,35,100,65,75,6.0,7.0,rabi,150
cabbage,120,60,75,15,25,35,100,60,90,5.5,7.0,rabi,90
cauliflower,120,60,60,15,25,35,100,60,90,5.5,7.0,rabi,90
okra,80,30,40,20,35,50,150,60,80,6.0,7.5,kharif,65
bell_pepper,130,60,60,18,30,60,150,60,80,5.5,7.0,annual,150
carrot,80,55,75,15,25,35,100,60,80,5.5,7.0,rabi,100
cucumber,100,45,80,18,35,35,100,60,90,5.5,7.0,summer,60
brinjal,100,60,50,20,35,50,150,60,85,5.5,7.0,annual,150
garlic,100,70,50,10,25,40,100,60,70,5.5,7.0,rabi,150
spinach,100,50,50,15,25,35,100,60,90,6.0,7.5,rabi,45
peas,50,60,60,15,25,35,75,60,80,6.0,7.5,rabi,120
beet_root,100,90,100,15,25,45,100,60,80,6.0,7.0,rabi,90
sweet_potato,50,60,80,20,35,45,150,60,80,5.5,7.0,annual,150
cucumber,100,45,80,18,35,35,100,60,90,5.5,7.0,summer,60
radish,50,50,50,15,30,35,75,60,90,6.0,7.0,rabi,45